Date,High,Low,Open,Volume From,Volume To,Close,Currency Pair
15/09/2021,48457.3,46725.15,47129.01,26904.97,"1,282,942,628.56",48148.45,BTC/USD
16/09/2021,48498.51,47050.55,48148.45,25702.33,"1,229,076,140.65",47764.47,BTC/USD
17/09/2021,48172.36,46770.31,47764.47,18941.92,"899,242,093.44",47297.98,BTC/USD
18/09/2021,48808.0,47066.47,47297.98,15782.18,"761,079,785.11",48312.46,BTC/USD
19/09/2021,48376.3,46864.5,48312.46,14044.93,"668,723,282.36",47251.76,BTC/USD
20/09/2021,47340.49,42552.63,47251.76,64374.41,"2,849,781,014.82",42925.46,BTC/USD
21/09/2021,43625.93,39767.17,42925.46,70924.75,"2,972,565,920.07",40709.59,BTC/USD
22/09/2021,44012.22,40589.07,40709.59,42391.1,"1,807,576,533.35",43576.15,BTC/USD
23/09/2021,44994.17,43108.42,43576.15,34506.88,"1,522,818,255.74",44893.87,BTC/USD
24/09/2021,45143.18,40807.2,44893.87,60130.03,"2,565,373,998.35",42848.41,BTC/USD
25/09/2021,42992.94,41710.08,42848.41,18046.04,"767,641,976.96",42721.91,BTC/USD
26/09/2021,43928.49,40825.4,42721.91,27847.04,"1,187,820,024.18",43201.79,BTC/USD
27/09/2021,44360.41,42139.24,43201.79,26251.27,"1,140,232,492.25",42187.51,BTC/USD
28/09/2021,42781.24,40924.13,42187.51,31946.42,"1,335,757,058.57",41056.79,BTC/USD
29/09/2021,42603.18,40790.67,41056.79,26354.27,"1,100,252,801.68",41539.43,BTC/USD
30/09/2021,44106.6,41436.79,41539.43,33984.98,"1,469,981,944.79",43829.34,BTC/USD
01/10/2021,48470.13,43304.82,43829.34,53577.95,"2,498,575,570.28",48164.35,BTC/USD
02/10/2021,48347.69,47468.49,48164.35,16062.18,"769,022,184.37",47669.02,BTC/USD
03/10/2021,49185.34,47137.07,47669.02,18588.83,"895,606,844.23",48234.05,BTC/USD
04/10/2021,49501.21,46944.28,48234.05,34394.0,"1,664,027,525.19",49276.91,BTC/USD
05/10/2021,51885.03,49087.72,49276.91,40687.89,"2,049,372,160.16",51504.27,BTC/USD
06/10/2021,55656.67,50439.32,51504.27,64415.98,"3,444,996,109.53",55345.85,BTC/USD
07/10/2021,55359.77,53391.93,55343.24,33806.76,"1,836,529,821.85",53797.21,BTC/USD
08/10/2021,56047.91,53666.09,53796.22,29127.91,"1,592,265,868.06",53949.29,BTC/USD
